title,price,rating,reviews,availability
"SAMSUNG Odyssey G4 Series 25-Inch FHD Gaming Monitor, IPS, 240Hz, 1ms, G-Sync Compatible, AMD FreeSync Premium, HDR10, Ultrawide Game View, DisplayPort, HDMI, Fully Adjustable Stand (LS25BG402ENXGO)",,4.6 out of 5 stars,"1,939 ratings",In Stock
"KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms 1800R LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care",,4.4 out of 5 stars,"3,890 ratings",In Stock
"SAMSUNG UJ59 Series 32-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver/Flicker Free Mode, FreeSync (LU32J590UQNXZA),Black",,4.3 out of 5 stars,"4,074 ratings",In Stock
"SAMSUNG 23.5” CF396 Curved Computer Monitor, AMD FreeSync for Advanced Gaming, 4ms Response Time, Wide Viewing Angle, Ultra Slim Design, LC24F396FHNXZA, Black",,4.6 out of 5 stars,"24,268 ratings",In Stock
"KOORUI 24-Inch Curved Computer Monitor- Full HD 1080P 60Hz Gaming Monitor 1800R LED Monitor HDMI VGA, Tilt Adjustment, Eye Care, Black 24N5C",,4.3 out of 5 stars,"3,284 ratings",In Stock
"Sceptre 22 inch 75Hz 1080P LED Monitor 99% sRGB HDMI X2 VGA Build-In Speakers, Machine Black (E225W-19203R series)",,4.5 out of 5 stars,"8,319 ratings",In Stock
SANSUI Monitor 27 inch FHD 1080p 75Hz USB Type-C Computer Monitor HDMI VGA Built-in Speakers Headphone Eye Care VESA Compatible for Home Office(ES-27F1 Type-C Cable & HDMI Cable Included),,4.5 out of 5 stars,"1,105 ratings",In Stock
"AOC C27G2Z 27"" Curved Frameless Ultra-Fast Gaming Monitor, FHD 1080p, 0.5ms 240Hz, FreeSync, HDMI/DP/VGA, Height Adjustable, 3-Year Zero Dead Pixel Guarantee, Black, 27"" FHD Curved",,4.7 out of 5 stars,"25,648 ratings",In Stock
"Nitro by Acer 27"" Full HD 1920 x 1080 1500R Curve PC Gaming Monitor | AMD FreeSync Premium | 165Hz Refresh | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.4 & 2 x HDMI 2.0 Ports ED270R Mbmiiphx",,4.6 out of 5 stars,"2,629 ratings",In Stock
"SAMSUNG 32"" Odyssey G55A QHD 165Hz 1ms FreeSync Curved Gaming Monitor with HDR 10, Futuristic Design for Any Desktop (LS32AG550ENXZA)",,4.5 out of 5 stars,"8,295 ratings",In Stock
"CRUA 27"" Curved Monitor, Full HD(1920x1080P)VA Panel 1800R 75HZ 99% sRGB Professional Computer Monitor,3Sides Frameless,Flicker-less,Blue Light Filter,for Office&Gaming(VGA,HDMI)VESA Mountable-Black",,4.4 out of 5 stars,"3,133 ratings",In Stock
"KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms Build-in FreeSync, Compatible G-sync, LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care 24E4",,4.3 out of 5 stars,"3,284 ratings",In Stock
